latitude,longitude,timestamp
30.4394,-2.0168,1586853862
30.8880,-1.5153,1586853872
31.3566,-0.9833,1586853882
31.8005,-0.4712,1586853892
32.2639,0.0722,1586853903
32.7248,0.6218,1586853914
33.1610,1.1509,1586853924
33.6161,1.7126,1586853934
34.0468,2.2534,1586853944
34.4960,2.8276,1586853955
34.9422,3.4087,1586853965
35.3641,3.9685,1586853975
35.8037,4.5628,1586853986
36.2193,5.1356,1586853996
36.6523,5.7441,1586854006
37.0613,6.3304,1586854016
37.4871,6.9533,1586854027
37.9092,7.5840,1586854037
38.3075,8.1917,1586854047
38.7219,8.8376,1586854058
39.1127,9.4602,1586854068
39.5189,10.1219,1586854078
39.9208,10.7918,1586854089
40.2995,11.4377,1586854099
40.6926,12.1241,1586854110
41.0628,12.7860,1586854120
41.4468,13.4894,1586854130
41.8079,14.1676,1586854140
42.1823,14.8887,1586854151
42.5514,15.6186,1586854161
42.8981,16.3222,1586854171
43.2568,17.0701,1586854182
43.5933,17.7910,1586854192
43.9411,18.5572,1586854202
44.2831,19.3328,1586854213
44.6032,20.0803,1586854223
44.9335,20.8745,1586854233
45.2423,21.6398,1586854243
45.5603,22.4529,1586854254
45.8572,23.2363,1586854264
46.1624,24.0682,1586854274
46.4609,24.9100,1586854285
46.7387,25.7205,1586854295
47.0235,26.5811,1586854306
47.2880,27.4094,1586854316
47.5586,28.2886,1586854326
47.8218,29.1772,1586854337
48.0652,30.0322,1586854347
48.3133,30.9390,1586854357
48.5422,31.8111,1586854367
48.7747,32.7356,1586854378
48.9885,33.6244,1586854388
49.2048,34.5662,1586854398
49.4127,35.5164,1586854409
49.6026,36.4291,1586854419
49.7936,37.3955,1586854429
49.9673,38.3230,1586854439
50.1408,39.3044,1586854450
50.3053,40.2930,1586854460
50.4533,41.2409,1586854470
50.5996,42.2427,1586854481
50.7302,43.2027,1586854491
50.8581,44.2165,1586854502
50.9709,45.1873,1586854512
51.0798,46.2118,1586854522
51.1790,47.2411,1586854533
51.2643,48.2255,1586854543
51.3441,49.2629,1586854553
51.4109,50.2542,1586854563
51.4711,51.2982,1586854574
51.5213,52.3449,1586854584
51.5596,53.3438,1586854594
51.5899,54.3941,1586854605
51.6093,55.3957,1586854615
51.6197,56.4480,1586854625
51.6201,57.4506,1586854635
